i	1
ii	2
iii	3
v	5
vi	6
viii	8
ix	9
IX	9
xii	12
xiii	13
xiv	14
xv	15
XV	15
xvi	16
xvii	17
xviii	18
xix	19
xx	20
xxii	22
XXII	22
xxiii	23
xxiv	24
xxvi	26
xxix	29
xxx	30
xxxii	32
xxxiii	33
xxxvi	36
xxxviii	38
lvi	56
