ambarapiaikiny	ambara-piaikiny
ambarapialako	ambara-pialako
ambarapiantsony	ambara-piantsony
Ambarapiboroaky	Ambara-piboroaky
ambarapiditrao	ambara-piditrao
ambarapihavin	ambara-pihavin
Ambarapihavin	Ambara-pihavin
ambarapihaviny	ambara-pihaviny
ambarapihinako	ambara-pihinako
ambarapilatsaky	ambara-pilatsaky
ambarapilazako	ambara-pilazako
ambarapitataovovonan	ambara-pitataovovonan
Ambarapitazan	Ambara-pitazan
ambarapitombony	ambara-pitombony
ambaravaran	am-baravaran
ambaravarana	am-baravarana
ambaravarankely	am-baravarankely
ambata	am-bata
ambatolampy	am-batolampy
ambavafo	am-bavafo
ambavahadiko	am-bavahadiko
ambavahadin	am-bavahadin
ambavahadinao	am-bavahadinao
ambavahadinareo	am-bavahadinareo
ambavahadinkazandrano	am-bavahadin-kazandrano
ambavahadintsika	am-bavahadintsika
ambavahadiny	am-bavahadiny
ambavahady	am-bavahady
ambavako	am-bavako
ambavan	am-bavan
ambavanao	am-bavanao
ambavany	am-bavany
ambavasa	am-bavasa
ambavasanao	am-bavasanao
ambavazohy	am-bava-zohy
ambavoroko	am-bavoroko
ambavoronareo	am-bavoronareo
ambavorony	am-bavorony
ambentinteny	ambentin-teny
ambilany	am-bilany
ambilia	am-bilia
amboadia	amboa-dia
amboahaolo	amboa-haolo
amboalohany	am-boalohany
amboampenao	amboam-penao
amboany	am-boany
amboarambary	amboaram-bary
ambodin	am-bodin
ambodirindrina	am-bodirindrina
ambodisambo	am-bodisambo
ambohitra	am-bohitra
ambohoka	am-bohoka
ambohokanao	am-bohokanao
ambozon	am-bozon
ambozonao	am-bozonao
ambyroapolo	amby-roa-polo
amimbehivavy	amim-behivavy
amimbola	amim-bola
amimboninahitra	amim-boninahitra
amimpahalalana	amim-pahalalana
amimpahamarinana	amim-pahamarinana
amimpahatalanjonana	amim-pahatalanjonana
amimpahatanjahana	amim-pahatanjahana
amimpahatezerana	amim-pahatezerana
amimpahendrena	amim-pahendrena
amimpahoriana	amim-pahoriana
amimpanajana	amim-panajana
amimpaty	amim-paty
amimpireharehana	amim-pireharehana
amindivay	amin-divay
amindokanga	amin-dokanga
amindoza	amin-doza
amindrainao	amin-drainao
amindrainy	amin-drainy
amindralehilahy	amin-dralehilahy
amindravehivavy	amin-dravehivavy
amindray	amin-dray
amindRegoela	amin-dRegoela
amindRehoboama	amin-dRehoboama
amindRehoma	amin-dRehoma
amindreninareo	amin-dreninareo
amindreniny	amin-dreniny
amindRezina	amin-dRezina
aminkarena	amin-karena
aminkenatra	amin-kenatra
aminkery	amin-kery
aminkorohoro	amin-korohoro
aminkovitra	amin-kovitra
aminny	amin-ny
amintahotra	amin-tahotra
amintory	amin-tory
amintsaina	amin-tsaina
amintsipìka	amin-tsipìka
amorondalana	amoron-dalana
amorondrano	amoron-drano
amorondranomasina	amoron-dranomasina
amorontsiraka	amoron-tsiraka
amorontsiraky	amoron-tsiraky
ampaharariany	am-paharariany
ampahatelontsekely	ampahatelon-tsekely
ampahibemaso	am-pahibemaso
ampahitra	am-pahitra
ampahitrao	am-pahitrao
ampaladianareo	am-paladianareo
ampaladiany	am-paladiany
ampamihinany	am-pamihinany
ampamoloako	am-pamoloako
ampamoloana	am-pamoloana
ampamoloanao	am-pamoloanao
ampamoloany	am-pamoloany
ampamonoana	am-pamonoana
ampamorianketra	am-pamorian-ketra
ampanahiny	am-panahiny
ampanahy	am-panahy
ampandehanana	am-pandehanana
ampandriako	am-pandriako
ampandriana	am-pandriana
ampandrianareo	am-pandrianareo
ampandriany	am-pandriany
ampanotrehana	am-panotrehana
ampantsakana	am-pantsakana
amparafara	am-parafara
amparafarany	am-parafarany
amparan	am-paran
amparany	am-parany
amparavodilanitra	am-paravodilanitra
amparavodilavaka	ampara-vodilavaka
amparavodilavaka	am-paravodi-lavaka
amparihin	am-parihin
ampasan	am-pasan
ampasana	am-pasana
ampasandrazanao	am-pasan-drazanao
ampasandrazany	am-pasan-drazany
ampasany	am-pasany
ampatana	am-patana
ampatorana	am-patorana
ampaty	am-paty
ampehezana	am-pehezana
ampelatanako	am-pelatanako
ampelatanan	am-pelatanan
ampelatànan	ampela-tànan
ampelatanany	am-pelatanany
ampelatànany	ampela-tànany
ampempamboalobok	ampempam-boalobok
ampempamboaloboka	ampempam-boaloboka
ampiakarana	am-piakarana
ampiangonana	am-piangonana
ampiantsetsetra	ampian-tsetsetra
ampidinan	am-pidinan
ampidinana	am-pidinana
ampidirana	am-pidirana
ampielezana	am-pielezana
ampierena	am-pierena
ampiereny	am-piereny
ampifaliana	am-pifaliana
ampihinanambilona	am-pihinanam-bilona
ampihinanana	am-pihinanana
ampikapohana	am-pikapohana
ampinonoana	am-pinonoana
ampiononindreniny	ampiononin-dreniny
ampipetrahana	am-pipetrahana
ampisotroandivay	am-pisotroan-divay
ampita	am-pita
